family,setting,protocol,initialization,cm_variant,seed_count,seeds,init_scale,round_budget,initial_score,reported_score,last_round_score,individual_ft,delta_vs_ft_pp,sources
CLIP,ViT-B/32 / 8,abl_hp_coexist_isoalpha4.0,Iso-C,original,1,0,4.0,4,48.25051242034288,86.7210930899252,86.7210930899252,89.96382539165398,-3.242732301728779,wb/results_ablation/abl_hp_coexist_isoalpha4.0.json
CLIP,ViT-B/32 / 8,abl_hp_coexist_isoalpha6.0,Iso-C,original,1,0,6.0,4,28.035954081370352,86.64637379823019,86.64637379823019,89.96382539165398,-3.3174515934237974,wb/results_ablation/abl_hp_coexist_isoalpha6.0.json
CLIP,ViT-B/32 / 8,abl_scale_average_a12.0,WeightAvg,original,1,0,12.0,4,7.43647672711899,67.78511841228061,67.78511841228061,89.96382539165398,-22.178706979373374,wb/results_ablation/abl_scale_average_a12.0.json
CLIP,ViT-B/32 / 8,abl_scale_average_a3.0,WeightAvg,original,1,0,3.0,4,61.22573865240616,85.08823175644348,85.08823175644348,89.96382539165398,-4.875593635210507,wb/results_ablation/abl_scale_average_a3.0.json
CLIP,ViT-B/32 / 8,abl_scale_average_a6.0,WeightAvg,original,1,0,6.0,4,32.15513183997017,84.9433213265415,84.9433213265415,89.96382539165398,-5.02050406511249,wb/results_ablation/abl_scale_average_a6.0.json
CLIP,ViT-B/32 / 8,abl_scale_ta_a0.75,Task Arithmetic,original,1,0,0.75,4,32.15513183997017,84.9433213265415,84.9433213265415,89.96382539165398,-5.02050406511249,wb/results_ablation/abl_scale_ta_a0.75.json
CLIP,ViT-B/32 / 8,abl_scale_ta_a1.5,Task Arithmetic,original,1,0,1.5,4,7.43647672711899,67.78511841228061,67.78511841228061,89.96382539165398,-22.178706979373374,wb/results_ablation/abl_scale_ta_a1.5.json
T5,base,paired initialization study,Iso-C,original,1,0,,,79.64478618764153,84.8455535396478,,,,experiments/nlp_runs/results/t5_coexist_n256.json
T5,base,paired initialization study,Iso-C,target interpolation 0.3,1,0,,,79.64478618764153,85.58767619261754,,,,experiments/nlp_runs/results/t5_coexist_tgt0.3.json
T5,large,paired initialization study,Iso-C,original,1,0,,,82.42192104402464,88.9861073119702,,,,experiments/nlp_runs/results/t5l_coexist.json
T5,base,paired initialization study,FeatCal (TA),original,1,0,,,84.55565558922835,84.81824591384509,,,,experiments/nlp_runs/results/t5_coexist_from_featcal.json
T5,base,paired initialization study,FeatCal (TA),target interpolation 0.3,1,0,,,84.55565558922835,85.44329953590557,,,,experiments/nlp_runs/results/t5_stack_tgt0.3_from_featcal.json
T5,large,paired initialization study,FeatCal (TA),original,1,0,,,89.06066436199751,89.1043147999759,,,,experiments/nlp_runs/results/t5l_stack_coexist_from_featcal.json
T5,base,paired initialization study,RegMean,original,1,0,,,83.80109444608075,84.78151121762886,,,,experiments/nlp_runs/results/t5_coexist_from_regmean0.9.json
T5,base,paired initialization study,RegMean,target interpolation 0.3,1,0,,,83.80109444608075,85.56763225996356,,,,experiments/nlp_runs/results/t5_stack_tgt0.3_from_regmean0.9.json
T5,base,paired initialization study,TSV-M,target interpolation 0.3,1,0,,,82.75929090583355,85.48019490550348,,,,experiments/nlp_runs/results/t5_stack_tgt0.3_from_tsv_m.json
T5,large,paired initialization study,TSV-M,original,1,0,,,88.09297673812956,89.07108761048676,,,,experiments/nlp_runs/results/t5l_stack_coexist_from_tsv_m.json
T5,base,paired initialization study,Task Arithmetic,target interpolation 0.3,1,0,,,78.89205843058306,85.49863522604653,,,,experiments/nlp_runs/results/t5_stack_tgt0.3_from_ta0.3.json
LLM,Llama-3.2-3B,paired initialization study; GSM8K,Model Soup,original,1,42,,,39.95451099317665,54.05610310841546,,,,assets/lmeval/gsm8k_L1_soup/assets__ckpt__merged__L1_soup/results_2026-08-10T20-27-54.748642.json;assets/lmeval/gsm8k_L1_coexist_from_soup/assets__ckpt__merged__L1_coexist_from_soup/results_2026-09-10T13-19-22.757014.json;assets/ckpt/merged/L1_coexist_from_soup/ink_hist.json
LLM,Llama-3.2-3B,paired initialization study; GSM8K,Task Arith. 0.4,original,1,42,,,40.71266110689917,51.85746777862017,,,,assets/lmeval/gsm8k_L1_ta/assets__ckpt__merged__L1_ta/results_2026-08-10T18-19-07.776418.json;assets/lmeval/gsm8k_L1_coexist_from_ta/assets__ckpt__merged__L1_coexist_from_ta/results_2026-09-10T17-29-55.734016.json;assets/ckpt/merged/L1_coexist_from_ta/ink_hist.json
LLM,Llama-3.2-3B,paired initialization study; GSM8K,TIES 0.3/0.4,original,1,42,,,42.53222137983321,50.265352539802876,,,,assets/lmeval/gsm8k_L1_ties/assets__ckpt__merged__L1_ties/results_2026-08-10T21-05-08.065734.json;assets/lmeval/gsm8k_L1_coexist_from_ties/assets__ckpt__merged__L1_coexist_from_ties/results_2026-09-10T14-47-37.831706.json;assets/ckpt/merged/L1_coexist_from_ties/ink_hist.json
LLM,Llama-3.2-3B,paired initialization study; GSM8K,TSV-M,original,1,42,,,54.13191811978771,55.04169825625473,,,,assets/lmeval/gsm8k_L1_tsv/assets__ckpt__merged__L1_tsv/results_2026-08-10T22-17-00.629671.json;assets/lmeval/gsm8k_L1_coexist_from_tsv/assets__ckpt__merged__L1_coexist_from_tsv/results_2026-09-10T12-13-00.373391.json;assets/ckpt/merged/L1_coexist_from_tsv/ink_hist.json
LLM,Llama-3.2-3B,paired initialization study; GSM8K,RegMean 0.5,original,1,42,,,53.525398028809704,52.388172858225936,,,,assets/lmeval/gsm8k_L1_regmean_a0.5/assets__ckpt__merged__L1_regmean_a0.5/results_2026-08-10T18-38-55.098686.json;assets/lmeval/gsm8k_L1_coexist_from_regmean0.5/assets__ckpt__merged__L1_coexist_from_regmean0.5/results_2026-09-10T17-52-27.166803.json;assets/ckpt/merged/L1_coexist_from_regmean0.5/ink_hist.json
LLM,Llama-3.2-3B,paired initialization study; GSM8K,Iso-C 1.3,original,1,42,,,52.84306292645944,55.64821834723275,,,,assets/lmeval/gsm8k_L1_iso_c_a1.3/assets__ckpt__merged__L1_iso_c_a1.3/results_2026-08-10T23-47-33.581965.json;assets/lmeval/gsm8k_L1_coexist_isoc/assets__ckpt__merged__L1_coexist_isoc/results_2026-09-10T20-27-01.651277.json;assets/ckpt/merged/L1_coexist_isoc/ink_hist.json
LLM,Gemma-2-2B,paired initialization study; GSM8K,Model Soup,original,1,42,,,35.25398028809704,48.06671721000758,,,,assets/lmeval/gsm8k_L2_soup/assets__ckpt__merged__L2_soup/results_2026-08-11T11-13-14.988504.json;assets/lmeval/gsm8k_L2_coexist_from_soup/assets__ckpt__merged__L2_coexist_from_soup/results_2026-09-10T18-40-55.486880.json;assets/ckpt/merged/L2_coexist_from_soup/ink_hist.json
LLM,Gemma-2-2B,paired initialization study; GSM8K,Task Arith. 0.4,original,1,42,,,39.8786959818044,47.460197119029566,,,,assets/lmeval/gsm8k_L2_ta/assets__ckpt__merged__L2_ta/results_2026-08-11T11-43-35.267089.json;assets/lmeval/gsm8k_L2_coexist_from_ta/assets__ckpt__merged__L2_coexist_from_ta/results_2026-09-10T21-41-18.195562.json;assets/ckpt/merged/L2_coexist_from_ta/ink_hist.json
LLM,Gemma-2-2B,paired initialization study; GSM8K,TIES 0.3/0.4,original,1,42,,,42.91129643669447,46.929492039423806,,,,assets/lmeval/gsm8k_L2_ties/assets__ckpt__merged__L2_ties/results_2026-08-11T12-38-40.307964.json;assets/lmeval/gsm8k_L2_coexist_from_ties/assets__ckpt__merged__L2_coexist_from_ties/results_2026-09-11T00-42-02.166536.json;assets/ckpt/merged/L2_coexist_from_ties/ink_hist.json
LLM,Gemma-2-2B,paired initialization study; GSM8K,TSV-M,original,1,42,,,41.16755117513268,46.32297194844579,,,,assets/lmeval/gsm8k_L2_tsv/assets__ckpt__merged__L2_tsv/results_2026-08-11T14-13-42.091552.json;assets/lmeval/gsm8k_L2_coexist_from_tsv/assets__ckpt__merged__L2_coexist_from_tsv/results_2026-09-11T03-41-35.170051.json;assets/ckpt/merged/L2_coexist_from_tsv/ink_hist.json
