id,family,setting,implementation,method,seed,seed_evidence,target_interpolation,featcal_interpolation,stats_samples_per_task,holdout_samples_per_task,max_rounds,cg_iterations,solver_initialization,complete_evaluation,in_published_snapshot,score,config_source,result_source
t5_coexist_unnorm,T5,base,nlp/merge_t5.py,CM,0,logged,0.0,,256,256,4,100,current model,True,False,84.97243671530157,experiments/nlp_runs/merged/t5_coexist_unnorm.log.json,experiments/nlp_runs/results/t5_coexist_unnorm.json
t5_featcal,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.55565558922835,experiments/nlp_runs/merged/t5_featcal.log.json,experiments/nlp_runs/results/t5_featcal.json
t5_featcal_on_coexist,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.63962845426103,experiments/nlp_runs/merged/t5_featcal_on_coexist.log.json,experiments/nlp_runs/results/t5_featcal_on_coexist.json
t5_featcal_seed1,T5,base,nlp/featcal_t5.py,FeatCal port,1,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.97701934577134,experiments/nlp_runs/merged/t5_featcal_seed1.log.json,experiments/nlp_runs/results/t5_featcal_seed1.json
t5_featcal_seed2,T5,base,nlp/featcal_t5.py,FeatCal port,2,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,85.08038868925428,experiments/nlp_runs/merged/t5_featcal_seed2.log.json,experiments/nlp_runs/results/t5_featcal_seed2.json
t5_featcal_seed3,T5,base,nlp/featcal_t5.py,FeatCal port,3,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.89878242463189,experiments/nlp_runs/merged/t5_featcal_seed3.log.json,experiments/nlp_runs/results/t5_featcal_seed3.json
t5_featcal_seed4,T5,base,nlp/featcal_t5.py,FeatCal port,4,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.67149209903752,experiments/nlp_runs/merged/t5_featcal_seed4.log.json,experiments/nlp_runs/results/t5_featcal_seed4.json
t5_stack_featcal_on_tgt0.3,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.7754846905658,experiments/nlp_runs/merged/t5_stack_featcal_on_tgt0.3.log.json,experiments/nlp_runs/results/t5_stack_featcal_on_tgt0.3.json
t5_stack_tgt0.3_from_featcal,T5,base,nlp/merge_t5.py,CM,0,logged,0.3,,256,256,4,100,current model,True,True,85.44329953590557,experiments/nlp_runs/merged/t5_stack_tgt0.3_from_featcal.log.json,experiments/nlp_runs/results/t5_stack_tgt0.3_from_featcal.json
t5l_coexist,T5,large,nlp/merge_t5.py,CM,0,logged,0.0,,256,256,4,100,current model,True,True,88.9861073119702,experiments/nlp_runs/merged/t5l_coexist.log.json,experiments/nlp_runs/results/t5l_coexist.json
t5l_coexist_tgt0.3,T5,large,nlp/merge_t5.py,CM,0,logged,0.3,,256,256,4,100,current model,True,True,87.96731086960328,experiments/nlp_runs/merged/t5l_coexist_tgt0.3.log.json,experiments/nlp_runs/results/t5l_coexist_tgt0.3.json
t5l_coexist_tgt0.6,T5,large,nlp/merge_t5.py,CM,0,logged,0.6,,256,256,4,100,current model,False,False,,experiments/nlp_runs/merged/t5l_coexist_tgt0.6.log.json,
t5l_featcal,T5,large,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,89.06066436199751,experiments/nlp_runs/merged/t5l_featcal.log.json,experiments/nlp_runs/results/t5l_featcal.json
t5l_stack_coexist_from_featcal,T5,large,nlp/merge_t5.py,CM,0,logged,0.0,,256,256,4,100,current model,True,True,89.1043147999759,experiments/nlp_runs/merged/t5l_stack_coexist_from_featcal.log.json,experiments/nlp_runs/results/t5l_stack_coexist_from_featcal.json
t5l_stack_coexist_from_tsv_m,T5,large,nlp/merge_t5.py,CM,0,logged,0.0,,256,256,4,100,current model,True,True,89.07108761048676,experiments/nlp_runs/merged/t5l_stack_coexist_from_tsv_m.log.json,experiments/nlp_runs/results/t5l_stack_coexist_from_tsv_m.json
t5l_stack_featcal_on_coexist,T5,large,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,89.32075355631964,experiments/nlp_runs/merged/t5l_stack_featcal_on_coexist.log.json,experiments/nlp_runs/results/t5l_stack_featcal_on_coexist.json
abl_budget_coexist_average_r12,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,12,100,expert weight average (mats_bfm default),True,True,85.14740086051314,wb/results_ablation/abl_budget_coexist_average_r12.json,wb/results_ablation/abl_budget_coexist_average_r12.json
abl_budget_coexist_iso_c_r12,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,12,100,expert weight average (mats_bfm default),True,True,86.60452711350209,wb/results_ablation/abl_budget_coexist_iso_c_r12.json,wb/results_ablation/abl_budget_coexist_iso_c_r12.json
abl_budget_coexist_regmean_r12,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,12,100,expert weight average (mats_bfm default),True,True,85.31847582115186,wb/results_ablation/abl_budget_coexist_regmean_r12.json,wb/results_ablation/abl_budget_coexist_regmean_r12.json
abl_budget_coexist_ta_r12,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,12,100,expert weight average (mats_bfm default),True,True,85.19047671640735,wb/results_ablation/abl_budget_coexist_ta_r12.json,wb/results_ablation/abl_budget_coexist_ta_r12.json
abl_budget_coexist_zeroshot_r12,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,12,100,expert weight average (mats_bfm default),True,True,85.38454844686505,wb/results_ablation/abl_budget_coexist_zeroshot_r12.json,wb/results_ablation/abl_budget_coexist_zeroshot_r12.json
abl_hp_coexist_gs0.3,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,86.74166601794471,wb/results_ablation/abl_hp_coexist_gs0.3.json,wb/results_ablation/abl_hp_coexist_gs0.3.json
abl_hp_coexist_gs0.5,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,86.49757149624975,wb/results_ablation/abl_hp_coexist_gs0.5.json,wb/results_ablation/abl_hp_coexist_gs0.5.json
abl_hp_coexist_gs0.9,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,86.14967202749627,wb/results_ablation/abl_hp_coexist_gs0.9.json,wb/results_ablation/abl_hp_coexist_gs0.9.json
abl_hp_coexist_isoalpha1.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.81795130563923,wb/results_ablation/abl_hp_coexist_isoalpha1.0.json,wb/results_ablation/abl_hp_coexist_isoalpha1.0.json
abl_hp_coexist_isoalpha1.6,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,86.99140950281452,wb/results_ablation/abl_hp_coexist_isoalpha1.6.json,wb/results_ablation/abl_hp_coexist_isoalpha1.6.json
abl_hp_coexist_isoalpha1.8,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,87.18365279698114,wb/results_ablation/abl_hp_coexist_isoalpha1.8.json,wb/results_ablation/abl_hp_coexist_isoalpha1.8.json
abl_hp_coexist_isoalpha2.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,87.25296500170124,wb/results_ablation/abl_hp_coexist_isoalpha2.0.json,wb/results_ablation/abl_hp_coexist_isoalpha2.0.json
abl_hp_coexist_isoalpha2.4,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,87.30430622634721,wb/results_ablation/abl_hp_coexist_isoalpha2.4.json,wb/results_ablation/abl_hp_coexist_isoalpha2.4.json
abl_hp_coexist_isoalpha2.7,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,87.43051856266297,wb/results_ablation/abl_hp_coexist_isoalpha2.7.json,wb/results_ablation/abl_hp_coexist_isoalpha2.7.json
abl_hp_coexist_isoalpha3.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,87.45555317243898,wb/results_ablation/abl_hp_coexist_isoalpha3.0.json,wb/results_ablation/abl_hp_coexist_isoalpha3.0.json
abl_hp_coexist_isoalpha3.0_r8,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,8,100,expert weight average (mats_bfm default),True,True,87.45555317243898,wb/results_ablation/abl_hp_coexist_isoalpha3.0_r8.json,wb/results_ablation/abl_hp_coexist_isoalpha3.0_r8.json
abl_hp_coexist_isoalpha3.3,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,87.41237498823043,wb/results_ablation/abl_hp_coexist_isoalpha3.3.json,wb/results_ablation/abl_hp_coexist_isoalpha3.3.json
abl_hp_coexist_isoalpha4.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,86.7210930899252,wb/results_ablation/abl_hp_coexist_isoalpha4.0.json,wb/results_ablation/abl_hp_coexist_isoalpha4.0.json
abl_hp_coexist_isoalpha6.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,86.64637379823019,wb/results_ablation/abl_hp_coexist_isoalpha6.0.json,wb/results_ablation/abl_hp_coexist_isoalpha6.0.json
abl_hp_coexist_n128,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,128,128,4,100,expert weight average (mats_bfm default),True,False,86.22214623547565,wb/results_ablation/abl_hp_coexist_n128.json,wb/results_ablation/abl_hp_coexist_n128.json
abl_hp_coexist_n64,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,64,64,4,100,expert weight average (mats_bfm default),True,False,85.42162883547661,wb/results_ablation/abl_hp_coexist_n64.json,wb/results_ablation/abl_hp_coexist_n64.json
abl_hp_coexist_nols,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,False,,wb/results_ablation/abl_hp_coexist_nols.json,wb/results_ablation/abl_hp_coexist_nols.json
abl_hp_coexist_rounds8,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,8,100,expert weight average (mats_bfm default),True,False,86.60452711350209,wb/results_ablation/abl_hp_coexist_rounds8.json,wb/results_ablation/abl_hp_coexist_rounds8.json
abl_init_coexist_average,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.1180905908503,wb/results_ablation/abl_init_coexist_average.json,wb/results_ablation/abl_init_coexist_average.json
abl_init_coexist_iso_c,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,86.60452711350209,wb/results_ablation/abl_init_coexist_iso_c.json,wb/results_ablation/abl_init_coexist_iso_c.json
abl_init_coexist_regmean,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.31847582115186,wb/results_ablation/abl_init_coexist_regmean.json,wb/results_ablation/abl_init_coexist_regmean.json
abl_init_coexist_ta,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.08584202314917,wb/results_ablation/abl_init_coexist_ta.json,wb/results_ablation/abl_init_coexist_ta.json
abl_init_coexist_tsv_m,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,86.38312443101569,wb/results_ablation/abl_init_coexist_tsv_m.json,wb/results_ablation/abl_init_coexist_tsv_m.json
abl_init_coexist_zeroshot,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.25409661111848,wb/results_ablation/abl_init_coexist_zeroshot.json,wb/results_ablation/abl_init_coexist_zeroshot.json
abl_scale_average_a12.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,67.78511841228061,wb/results_ablation/abl_scale_average_a12.0.json,wb/results_ablation/abl_scale_average_a12.0.json
abl_scale_average_a3.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.08823175644348,wb/results_ablation/abl_scale_average_a3.0.json,wb/results_ablation/abl_scale_average_a3.0.json
abl_scale_average_a6.0,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,84.9433213265415,wb/results_ablation/abl_scale_average_a6.0.json,wb/results_ablation/abl_scale_average_a6.0.json
abl_scale_ta_a0.75,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,84.9433213265415,wb/results_ablation/abl_scale_ta_a0.75.json,wb/results_ablation/abl_scale_ta_a0.75.json
abl_scale_ta_a1.5,CLIP,ViT-B-32/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,67.78511841228061,wb/results_ablation/abl_scale_ta_a1.5.json,wb/results_ablation/abl_scale_ta_a1.5.json
grid_coexist_ViT-B-16_14,CLIP,ViT-B-16/14,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,86.44745120276328,wb/results_ablation/grid_coexist_ViT-B-16_14.json,wb/results_ablation/grid_coexist_ViT-B-16_14.json
grid_coexist_ViT-B-16_20,CLIP,ViT-B-16/20,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,85.82805478967609,wb/results_ablation/grid_coexist_ViT-B-16_20.json,wb/results_ablation/grid_coexist_ViT-B-16_20.json
grid_coexist_ViT-B-16_8,CLIP,ViT-B-16/8,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,88.99046682789357,wb/results_ablation/grid_coexist_ViT-B-16_8.json,wb/results_ablation/grid_coexist_ViT-B-16_8.json
grid_coexist_ViT-B-32_14,CLIP,ViT-B-32/14,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,83.92968271644956,wb/results_ablation/grid_coexist_ViT-B-32_14.json,wb/results_ablation/grid_coexist_ViT-B-32_14.json
grid_coexist_ViT-B-32_20,CLIP,ViT-B-32/20,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,83.41898221843356,wb/results_ablation/grid_coexist_ViT-B-32_20.json,wb/results_ablation/grid_coexist_ViT-B-32_20.json
grid_coexist_ViT-L-14_14,CLIP,ViT-L-14/14,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,88.7495547689235,wb/results_ablation/grid_coexist_ViT-L-14_14.json,wb/results_ablation/grid_coexist_ViT-L-14_14.json
grid_coexist_ViT-L-14_20,CLIP,ViT-L-14/20,workbench,CM,0,logged,0,,256,256,4,100,expert weight average (mats_bfm default),True,True,88.95527099773953,wb/results_ablation/grid_coexist_ViT-L-14_20.json,wb/results_ablation/grid_coexist_ViT-L-14_20.json
